,Match_ID,Unique_Team_ID,MainTeam,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Result,goals_scored,weather
0,1092,1,Bayern Munich,D1,2011,2012-03-31,Nurnberg,Bayern Munich,0,1,A,W,1,rain
2,1093,1,Bayern Munich,D1,2011,2011-12-11,Stuttgart,Bayern Munich,1,2,A,W,2,partly-cloudy-day
4,1094,1,Bayern Munich,D1,2011,2011-08-13,Wolfsburg,Bayern Munich,0,1,A,W,1,partly-cloudy-day
6,1095,1,Bayern Munich,D1,2011,2011-11-27,Mainz,Bayern Munich,3,2,H,L,2,wind
8,1096,1,Bayern Munich,D1,2011,2012-02-18,Freiburg,Bayern Munich,0,0,D,D,0,partly-cloudy-day
10,1097,1,Bayern Munich,D1,2011,2012-01-20,M'gladbach,Bayern Munich,3,1,H,L,1,rain
12,1098,1,Bayern Munich,D1,2011,2012-02-04,Hamburg,Bayern Munich,1,1,D,D,1,partly-cloudy-day
14,1099,1,Bayern Munich,D1,2011,2012-04-21,Werder Bremen,Bayern Munich,1,2,A,W,2,partly-cloudy-day
16,1100,1,Bayern Munich,D1,2011,2011-09-18,Schalke 04,Bayern Munich,0,2,A,W,2,rain
18,1101,1,Bayern Munich,D1,2011,2011-10-23,Hannover,Bayern Munich,2,1,H,L,1,Clear
20,1102,1,Bayern Munich,D1,2011,2011-10-01,Hoffenheim,Bayern Munich,0,0,D,D,0,Clear
22,1103,1,Bayern Munich,D1,2011,2012-03-03,Leverkusen,Bayern Munich,2,0,H,L,0,Clear
24,1104,1,Bayern Munich,D1,2011,2011-08-27,Kaiserslautern,Bayern Munich,0,3,A,W,3,partly-cloudy-day
26,1105,1,Bayern Munich,D1,2011,2012-03-17,Hertha,Bayern Munich,0,6,A,W,6,Clear
28,1106,1,Bayern Munich,D1,2011,2011-11-06,Augsburg,Bayern Munich,1,2,A,W,2,Clear
30,1107,1,Bayern Munich,D1,2011,2012-05-05,FC Koln,Bayern Munich,1,4,A,W,4,rain
32,1108,1,Bayern Munich,D1,2011,2012-04-11,Dortmund,Bayern Munich,1,0,H,L,0,partly-cloudy-day
34,1109,2,Dortmund,D1,2011,2011-08-27,Leverkusen,Dortmund,0,0,D,D,0,partly-cloudy-day
36,1110,2,Dortmund,D1,2011,2011-12-17,Freiburg,Dortmund,1,4,A,W,4,rain
38,1111,2,Dortmund,D1,2011,2012-02-18,Hertha,Dortmund,0,1,A,W,1,partly-cloudy-day
40,1112,2,Dortmund,D1,2011,2012-02-03,Nurnberg,Dortmund,0,2,A,W,2,partly-cloudy-day
42,1113,2,Dortmund,D1,2011,2011-08-13,Hoffenheim,Dortmund,1,0,H,L,0,partly-cloudy-day
44,1114,2,Dortmund,D1,2011,2011-10-29,Stuttgart,Dortmund,1,1,D,D,1,Clear
46,1115,2,Dortmund,D1,2011,2012-01-22,Hamburg,Dortmund,1,5,A,W,5,rain
48,1116,2,Dortmund,D1,2011,2011-12-03,M'gladbach,Dortmund,1,1,D,D,1,rain
50,1117,2,Dortmund,D1,2011,2012-04-14,Schalke 04,Dortmund,1,2,A,W,2,Clear
52,1118,2,Dortmund,D1,2011,2011-09-18,Hannover,Dortmund,2,1,H,L,1,rain
54,1119,2,Dortmund,D1,2011,2012-03-25,FC Koln,Dortmund,1,6,A,W,6,partly-cloudy-day
56,1120,2,Dortmund,D1,2011,2012-03-10,Augsburg,Dortmund,0,0,D,D,0,partly-cloudy-day
58,1121,2,Dortmund,D1,2011,2012-04-07,Wolfsburg,Dortmund,1,3,A,W,3,partly-cloudy-day
60,1122,1,Bayern Munich,D1,2011,2011-11-19,Bayern Munich,Dortmund,0,1,A,L,0,partly-cloudy-day
62,1123,2,Dortmund,D1,2011,2011-10-14,Werder Bremen,Dortmund,0,2,A,W,2,Clear
64,1124,2,Dortmund,D1,2011,2011-09-24,Mainz,Dortmund,1,2,A,W,2,Clear
66,1125,2,Dortmund,D1,2011,2012-04-28,Kaiserslautern,Dortmund,2,5,A,W,5,Clear
68,1126,33,Hansa Rostock,D2,2011,2011-12-18,Hansa Rostock,Dresden,2,2,D,D,2,rain
70,1127,28,Bochum,D2,2011,2012-03-02,Bochum,Dresden,0,2,A,L,0,partly-cloudy-day
72,1128,14,Ein Frankfurt,D2,2011,2012-03-16,Ein Frankfurt,Dresden,3,0,H,W,3,Clear
74,1129,21,Paderborn,D2,2011,2012-02-17,Paderborn,Dresden,2,2,D,D,2,rain
76,1130,24,Greuther Furth,D2,2011,2011-08-06,Greuther Furth,Dresden,1,0,H,W,1,rain
78,1131,25,Fortuna Dusseldorf,D2,2011,2011-11-04,Fortuna Dusseldorf,Dresden,2,1,H,W,2,Clear
80,1132,19,Ingolstadt,D2,2011,2011-09-16,Ingolstadt,Dresden,4,2,H,W,4,partly-cloudy-day
82,1133,31,Cottbus,D2,2011,2011-07-15,Cottbus,Dresden,2,1,H,W,2,partly-cloudy-day
84,1134,27,St Pauli,D2,2011,2011-11-27,St Pauli,Dresden,3,1,H,W,3,wind
86,1135,37,Dresden,D2,2011,2012-05-06,Frankfurt FSV,Dresden,1,1,D,D,1,rain
88,1136,35,Union Berlin,D2,2011,2012-02-11,Union Berlin,Dresden,4,0,H,W,4,partly-cloudy-day
90,1137,37,Dresden,D2,2011,2011-10-02,Munich 1860,Dresden,2,4,A,W,4,Clear
92,1138,34,Aachen,D2,2011,2012-03-30,Aachen,Dresden,0,1,A,L,0,partly-cloudy-day
94,1139,29,Karlsruhe,D2,2011,2012-04-11,Karlsruhe,Dresden,2,0,H,W,2,partly-cloudy-day
96,1140,23,Braunschweig,D2,2011,2011-10-22,Braunschweig,Dresden,0,2,A,L,0,Clear
98,1141,37,Dresden,D2,2011,2012-04-21,Erzgebirge Aue,Dresden,1,1,D,D,1,partly-cloudy-day
100,1142,32,Duisburg,D2,2011,2011-08-26,Duisburg,Dresden,3,0,H,W,3,Clear
102,1143,32,Duisburg,D2,2011,2011-08-07,Frankfurt FSV,Duisburg,0,0,D,D,0,rain
104,1144,32,Duisburg,D2,2011,2012-02-24,Dresden,Duisburg,2,0,H,L,0,rain
106,1145,31,Cottbus,D2,2011,2011-12-18,Cottbus,Duisburg,1,1,D,D,1,rain
108,1146,29,Karlsruhe,D2,2011,2011-07-17,Karlsruhe,Duisburg,3,2,H,W,3,rain
110,1147,32,Duisburg,D2,2011,2012-04-11,Munich 1860,Duisburg,2,1,H,L,1,partly-cloudy-day
112,1148,32,Duisburg,D2,2011,2011-11-06,Aachen,Duisburg,2,2,D,D,2,Clear
114,1149,32,Duisburg,D2,2011,2012-02-12,Hansa Rostock,Duisburg,4,2,H,L,2,partly-cloudy-day
116,1150,27,St Pauli,D2,2011,2011-08-22,St Pauli,Duisburg,2,1,H,W,2,partly-cloudy-day
118,1151,14,Ein Frankfurt,D2,2011,2011-10-23,Ein Frankfurt,Duisburg,3,0,H,W,3,Clear
120,1152,24,Greuther Furth,D2,2011,2011-09-09,Greuther Furth,Duisburg,2,1,H,W,2,partly-cloudy-day
122,1153,19,Ingolstadt,D2,2011,2012-04-01,Ingolstadt,Duisburg,1,1,D,D,1,partly-cloudy-day
124,1154,28,Bochum,D2,2011,2011-09-25,Bochum,Duisburg,2,1,H,W,2,Clear
126,1155,23,Braunschweig,D2,2011,2012-04-20,Braunschweig,Duisburg,0,0,D,D,0,Clear
128,1156,32,Duisburg,D2,2011,2011-11-25,Erzgebirge Aue,Duisburg,1,2,A,W,2,rain
130,1157,21,Paderborn,D2,2011,2012-03-25,Paderborn,Duisburg,1,2,A,L,1,partly-cloudy-day
132,1158,25,Fortuna Dusseldorf,D2,2011,2012-05-06,Fortuna Dusseldorf,Duisburg,2,2,D,D,2,rain
134,1159,32,Duisburg,D2,2011,2012-03-09,Union Berlin,Duisburg,1,1,D,D,1,partly-cloudy-day
136,1160,14,Ein Frankfurt,D2,2011,2011-11-07,Erzgebirge Aue,Ein Frankfurt,1,2,A,W,2,Clear
138,1161,14,Ein Frankfurt,D2,2011,2011-09-10,Cottbus,Ein Frankfurt,3,3,D,D,3,partly-cloudy-day
140,1162,14,Ein Frankfurt,D2,2011,2011-10-14,Bochum,Ein Frankfurt,0,2,A,W,2,Clear
142,1163,14,Ein Frankfurt,D2,2011,2011-08-21,Frankfurt FSV,Ein Frankfurt,0,4,A,W,4,Clear
144,1164,14,Ein Frankfurt,D2,2011,2011-09-26,Dresden,Ein Frankfurt,1,4,A,W,4,Clear
146,1165,14,Ein Frankfurt,D2,2011,2012-04-07,Duisburg,Ein Frankfurt,2,0,H,L,0,partly-cloudy-day
148,1166,14,Ein Frankfurt,D2,2011,2012-03-26,Union Berlin,Ein Frankfurt,0,4,A,W,4,Clear
150,1167,14,Ein Frankfurt,D2,2011,2011-07-15,Greuther Furth,Ein Frankfurt,2,3,A,W,3,partly-cloudy-day
152,1168,14,Ein Frankfurt,D2,2011,2012-05-06,Karlsruhe,Ein Frankfurt,1,0,H,L,0,rain
154,1169,14,Ein Frankfurt,D2,2011,2011-10-30,Ingolstadt,Ein Frankfurt,1,1,D,D,1,Clear
156,1170,14,Ein Frankfurt,D2,2011,2012-02-13,Fortuna Dusseldorf,Ein Frankfurt,1,1,D,D,1,partly-cloudy-day
158,1171,14,Ein Frankfurt,D2,2011,2011-08-07,Braunschweig,Ein Frankfurt,0,3,A,W,3,rain
160,1172,14,Ein Frankfurt,D2,2011,2012-02-26,Paderborn,Ein Frankfurt,4,2,H,L,2,partly-cloudy-day
162,1173,14,Ein Frankfurt,D2,2011,2011-12-19,St Pauli,Ein Frankfurt,2,0,H,L,0,partly-cloudy-day
164,1174,14,Ein Frankfurt,D2,2011,2012-03-11,Hansa Rostock,Ein Frankfurt,1,5,A,W,5,partly-cloudy-day
166,1175,14,Ein Frankfurt,D2,2011,2011-11-26,Munich 1860,Ein Frankfurt,2,1,H,L,1,rain
168,1176,14,Ein Frankfurt,D2,2011,2012-04-23,Aachen,Ein Frankfurt,0,3,A,W,3,Clear
170,1177,8,FC Koln,D1,2011,2011-12-03,Stuttgart,FC Koln,2,2,D,D,2,rain
172,1178,1,Bayern Munich,D1,2011,2011-12-16,Bayern Munich,FC Koln,3,0,H,W,3,rain
174,1179,2,Dortmund,D1,2011,2011-10-22,Dortmund,FC Koln,5,0,H,W,5,Clear
176,1180,5,Schalke 04,D1,2011,2011-08-13,Schalke 04,FC Koln,5,1,H,W,5,partly-cloudy-day
178,1181,8,FC Koln,D1,2011,2011-11-05,Werder Bremen,FC Koln,3,2,H,L,2,Clear
